gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000261312	116.83087623894134	3.32731268079983	0.17511622965672524	4.1702645082609653e-81	8.999430808827163e-77
ENSG00000259952	91.81925351758845	4.346907572681407	0.22963113546337618	6.323018848561847e-81	1.3645074675196466e-76
ENSG00000267523	83.4229023780295	3.8020515378127415	0.2009371008707977	1.2667893985274567e-80	2.7337315220222517e-76
FBRSL1	2229.0961967492485	-1.2656744559587245	0.06775799496108073	1.0761385119447916e-79	2.3223069087768603e-75
YDJC	388.7951282703371	-1.754501605917665	0.09496002024553421	9.96577566178753e-79	2.1506143878137488e-74
CD320	1511.4978098956453	-1.0172357078927916	0.05491535783404766	3.6300925818146193e-78	7.833739791555949e-74
TMEM259	1737.1866755581586	-1.1114228390373782	0.060116939116150035	5.7352488566255e-78	1.237666703259783e-73
ENSG00000261305	101.31500385884252	4.337595695700453	0.23533757961689244	7.263294772478694e-77	1.5674190119009023e-72
GPC1	1236.1162865050887	-1.1885672438200967	0.06488789197635861	1.112217187631929e-76	2.4001646909097026e-72
NDUFB7	992.8757600405556	-1.0314711607963447	0.056519606785983355	5.4759346529057115e-76	1.1817066980970525e-71
CNPY2-AS1	81.82188917862916	3.325799371820896	0.1812485934580199	8.247316122907155e-76	1.7797708193233642e-71
ENSG00000258824	153.19623073595054	2.977433093020248	0.16260210054044333	1.8227894361649687e-75	3.933579603244003e-71
LRFN4	913.2636530615474	-1.387974426015728	0.07657572042961806	1.848961763608844e-75	3.990059485867885e-71
ENSG00000286195	116.21916366051347	3.208411019346846	0.1759001711595547	6.533783380904051e-75	1.409990453599094e-70
ENSG00000258959	78.96652867686984	4.195331461988598	0.23148208431213166	2.354653031195872e-74	5.0813412413206915e-70
ALG3	1349.3808616158562	-1.0560897430429859	0.05864488434524312	4.182552528170886e-74	9.025948355792772e-70
POLR2L	1572.2874031232093	-1.1004236700833103	0.06128378022536344	9.699316207669058e-74	2.0931124376149828e-69
LMF2	572.1280087858349	-1.4437729186267931	0.08091738498734523	2.391216067066741e-73	5.160244272730028e-69
ATXN7L3-AS1	262.5013821440716	3.552669505732472	0.1971696687087454	2.9185742965529e-73	6.298283331961159e-69
RPUSD1	703.9073453913685	-1.372581558308821	0.07694201844677404	3.4494284840615705e-73	7.443866668604869e-69
MBOAT7	2223.6627621479306	-1.0140374400949277	0.05703840368660938	2.869142319771591e-72	6.191609126067093e-68
ATP1A1-AS1	283.0156638976552	2.4781382807649233	0.13888526562986955	3.3505243169086823e-72	7.230431475888936e-68
CHCHD10	574.1172435372536	-1.835330189151677	0.10412781618505314	5.401358001273805e-72	1.165613056674887e-67
NME3	579.8393686708096	-1.4953476067674827	0.08502806168987197	1.812774977405491e-71	3.9119684012410495e-67
FASN	34620.445894422395	-1.6639891235132611	0.09540010966927875	1.3283429082964793e-70	2.8665639961038026e-66
ENSG00000257553	279.1682238213032	2.1819682333942194	0.1246347338496368	2.5364950074809068e-70	5.473756226143797e-66
UCP2	2114.3922563711826	-1.130107727868206	0.06491142265490177	1.4635742156253415e-69	3.158393157319487e-65
TMEM184B	2337.583496612831	-1.0590989432875024	0.06098881887910887	3.721456080262696e-69	8.030902221206898e-65
PRR36	1230.0807518582894	-1.7349415792430085	0.10060220264243658	3.784603440550691e-69	8.167174224708391e-65
C15orf39	1503.953760147718	-1.039831154794094	0.06049096100455176	8.160678031152881e-68	1.7610743191227917e-63
